100 100
9 77 2.000
9 78 0.000
9 79 -3.000
9 80 0.000
9 81 2.000
9 82 -2.000
9 83 1.000
9 84 3.000
9 85 -1.000
9 86 0.000
9 87 2.000
9 88 -3.000
9 89 1.000
9 90 2.000
9 91 2.000
9 92 -3.000
9 93 -1.000
9 94 3.000
9 95 0.000
9 96 -3.000
9 97 3.000
9 98 1.000
9 99 -1.000
10 0 -3.000
10 1 2.000
10 2 1.000
10 3 0.000
10 4 -3.000
10 5 3.000
10 6 -1.000
10 7 3.000
10 8 -1.000
10 9 2.000
10 10 1.000
10 11 -1.000
10 12 -2.000
10 13 -2.000
10 14 2.000
10 15 -2.000
10 16 3.000
10 17 2.000
10 18 1.000
10 19 -3.000
10 20 -3.000
10 21 -2.000
10 22 -1.000
10 23 -1.000
10 24 2.000
10 25 0.000
10 26 1.000
10 27 -2.000
10 28 1.000
10 29 -2.000
10 30 0.000
10 31 -1.000
10 32 0.000
10 33 -1.000
10 34 -2.000
10 35 -3.000
10 36 2.000
10 37 0.000
10 38 -1.000
10 39 0.000
10 40 2.000
10 41 -3.000
10 42 -3.000
10 43 -2.000
10 44 3.000
10 45 2.000
10 46 -2.000
10 47 2.000
10 48 0.000
10 49 -1.000
10 50 3.000
10 51 2.000
10 52 -3.000
10 53 -2.000
10 54 -3.000
10 55 0.000
10 56 -2.000
10 57 -3.000
10 58 2.000
10 59 -1.000
10 60 1.000
10 61 1.000
10 62 -3.000
10 63 0.000
10 64 -1.000
10 65 -1.000
10 66 -2.000
10 67 3.000
10 68 -3.000
10 69 1.000
10 70 2.000
10 71 0.000
10 72 2.000
10 73 -2.000
10 74 1.000
10 75 -1.000
10 76 -1.000
10 77 -1.000
10 78 1.000
10 79 -2.000
10 80 1.000
10 81 -2.000
10 82 3.000
10 83 -2.000
10 84 -2.000
10 85 -1.000
10 86 0.000
10 87 -1.000
10 88 2.000
10 89 -1.000
10 90 1.000
10 91 3.000
10 92 3.000
10 93 0.000
10 94 -3.000
10 95 0.000
10 96 -3.000
10 97 3.000
10 98 -3.000
10 99 -2.000
11 0 0.000
11 1 1.000
11 2 -3.000
11 3 -1.000
11 4 0.000
11 5 -3.000
11 6 0.000
11 7 2.000
11 8 1.000
11 9 -3.000
11 10 3.000
11 11 3.000
11 12 0.000
11 13 -2.000
11 14 3.000
11 15 -1.000
11 16 -3.000
11 17 1.000
11 18 1.000
11 19 1.000
11 20 2.000
11 21 2.000
11 22 -3.000
11 23 -1.000
11 24 -3.000
11 25 -1.000
11 26 -1.000
11 27 -2.000
11 28 2.000
11 29 -3.000
11 30 1.000
11 31 -2.000
11 32 -1.000
11 33 2.000
11 34 -3.000
11 35 1.000
11 36 3.000
11 37 0.000
11 38 -2.000
11 39 -3.000
11 40 1.000
11 41 -1.000
11 42 -3.000
11 43 -2.000
11 44 -1.000
11 45 1.000
11 46 1.000
11 47 -2.000
11 48 2.000
11 49 -3.000
11 50 -1.000
11 51 -3.000
11 52 -2.000
11 53 3.000
11 54 0.000
11 55 3.000
11 56 1.000
11 57 2.000
11 58 -3.000
11 59 -1.000
11 60 3.000
11 61 -2.000
11 62 0.000
11 63 -2.000
11 64 2.000
11 65 -1.000
11 66 -3.000
11 67 -2.000
11 68 3.000
11 69 2.000
11 70 2.000
11 71 -1.000
11 72 1.000
11 73 3.000
11 74 -2.000
11 75 -2.000
11 76 2.000
11 77 3.000
11 78 -2.000
11 79 0.000
11 80 -2.000
11 81 3.000
11 82 -3.000
11 83 0.000
11 84 0.000
11 85 1.000
11 86 -3.000
11 87 0.000
11 88 2.000
11 89 0.000
11 90 0.000
11 91 -3.000
11 92 -3.000
11 93 2.000
11 94 -1.000
11 95 -2.000
11 96 -2.000
11 97 -3.000
11 98 -1.000
11 99 2.000
12 0 -3.000
12 1 -1.000
12 2 0.000
12 3 0.000
12 4 3.000
12 5 3.000
12 6 0.000
12 7 1.000
12 8 -3.000
12 9 -2.000
12 10 -2.000
12 11 -3.000
12 12 -3.000
12 13 2.000
12 14 -3.000
12 15 0.000
12 16 1.000
12 17 3.000
12 18 3.000
12 19 -3.000
12 20 1.000
12 21 2.000
12 22 -1.000
12 23 -1.000
12 24 -3.000
12 25 -2.000
12 26 2.000
12 27 -3.000
12 28 2.000
12 29 2.000
12 30 -3.000
12 31 0.000
12 32 1.000
12 33 1.000
12 34 3.000
12 35 -1.000
12 36 -2.000
12 37 1.000
12 38 2.000
12 39 1.000
12 40 2.000
12 41 0.000
12 42 -3.000
12 43 1.000
12 44 3.000
12 45 -3.000
12 46 -1.000
12 47 1.000
12 48 2.000
12 49 0.000
12 50 0.000
12 51 1.000
12 52 2.000
12 53 0.000
12 54 3.000
12 55 -1.000
12 56 -3.000
12 57 -2.000
12 58 3.000
12 59 -3.000
12 60 -2.000
12 61 -3.000
12 62 -2.000
12 63 0.000
12 64 1.000
12 65 -2.000
12 66 0.000
12 67 -3.000
12 68 -2.000
12 69 1.000
12 70 0.000
12 71 3.000
12 72 1.000
12 73 0.000
12 74 2.000
12 75 3.000
12 76 1.000
12 77 2.000
12 78 0.000
12 79 -2.000
12 80 1.000
12 81 -3.000
12 82 -3.000
12 83 -3.000
12 84 3.000
12 85 -3.000
12 86 -1.000
12 87 -2.000
12 88 1.000
12 89 2.000
12 90 0.000
12 91 -1.000
12 92 -2.000
12 93 -1.000
12 94 1.000
12 95 0.000
12 96 -2.000
12 97 -3.000
12 98 -3.000
12 99 0.000
13 0 -1.000
13 1 -2.000
13 2 2.000
13 3 -1.000
13 4 3.000
13 5 -2.000
13 6 -2.000
13 7 -3.000
13 8 3.000
13 9 0.000
13 10 0.000
13 11 1.000
13 12 1.000
13 13 1.000
13 14 3.000
13 15 -3.000
13 16 1.000
13 17 1.000
13 18 -2.000
13 19 -3.000
13 20 0.000
13 21 -3.000
13 22 -2.000
13 23 -2.000
13 24 -2.000
13 25 2.000
13 26 -2.000
13 27 -3.000
13 28 2.000
13 29 3.000
13 30 -3.000
13 31 3.000
13 32 -3.000
13 33 0.000
13 34 1.000
13 35 -2.000
13 36 3.000
13 37 0.000
13 38 2.000
13 39 2.000
13 40 3.000
13 41 -1.000
13 42 3.000
13 43 -3.000
13 44 -1.000
13 45 2.000
13 46 1.000
13 47 -3.000
13 48 1.000
13 49 -1.000
13 50 3.000
13 51 -2.000
13 52 -1.000
13 53 3.000
13 54 -3.000
13 55 2.000
13 56 -1.000
13 57 1.000
13 58 0.000
13 59 0.000
13 60 3.000
13 61 -2.000
13 62 -3.000
13 63 2.000
13 64 -3.000
13 65 -2.000
13 66 0.000
13 67 0.000
13 68 -2.000
13 69 -2.000
13 70 -1.000
13 71 -2.000
13 72 2.000
13 73 1.000
13 74 -3.000
13 75 0.000
13 76 0.000
13 77 0.000
13 78 -2.000
13 79 3.000
13 80 3.000
13 81 -1.000
13 82 1.000
13 83 1.000
13 84 3.000
13 85 -3.000
13 86 -3.000
13 87 -3.000
13 88 1.000
13 89 -1.000
13 90 2.000
13 91 1.000
13 92 3.000
13 93 2.000
13 94 2.000
13 95 -3.000
13 96 0.000
13 97 1.000
13 98 1.000
13 99 -1.000
14 0 2.000
14 1 -2.000
14 2 -1.000
14 3 2.000
14 4 -1.000
14 5 3.000
14 6 -1.000
14 7 -2.000
14 8 -1.000
14 9 -2.000
14 10 -1.000
14 11 2.000
14 12 0.000
14 13 3.000
14 14 3.000
14 15 3.000
14 16 1.000
14 17 -3.000
14 18 3.000
14 19 3.000
14 20 3.000
14 21 3.000
14 22 0.000
14 23 1.000
14 24 3.000
14 25 0.000
14 26 -3.000
14 27 -2.000
14 28 1.000
14 29 0.000
14 30 -3.000
14 31 -2.000
14 32 3.000
14 33 -1.000
14 34 2.000
14 35 -3.000
14 36 -2.000
14 37 -3.000
14 38 -3.000
14 39 -2.000
14 40 -1.000
14 41 -1.000
14 42 0.000
14 43 -2.000
14 44 1.000
14 45 2.000
14 46 0.000
14 47 -2.000
14 48 -2.000
14 49 -3.000
14 50 3.000
14 51 -3.000
14 52 2.000
14 53 3.000
14 54 -2.000
14 55 -1.000
14 56 -2.000
14 57 1.000
14 58 0.000
14 59 -3.000
14 60 -2.000
14 61 3.000
14 62 1.000
14 63 -1.000
14 64 3.000
14 65 0.000
14 66 -3.000
14 67 1.000
14 68 3.000
14 69 0.000
14 70 3.000
14 71 -3.000
14 72 -3.000
14 73 3.000
14 74 -1.000
14 75 -3.000
14 76 0.000
14 77 2.000
14 78 0.000
14 79 -3.000
14 80 3.000
14 81 0.000
14 82 2.000
14 83 0.000
14 84 0.000
14 85 0.000
14 86 -1.000
14 87 0.000
14 88 3.000
14 89 -2.000
14 90 3.000
14 91 1.000
14 92 3.000
14 93 2.000
14 94 -2.000
14 95 1.000
14 96 3.000
14 97 -1.000
14 98 -1.000
14 99 -2.000
15 0 1.000
15 1 2.000
15 2 -1.000
15 3 1.000
15 4 1.000
15 5 -3.000
15 6 -2.000
15 7 -3.000
15 8 -1.000
15 9 1.000
15 10 0.000
15 11 -3.000
15 12 -1.000
15 13 -3.000
15 14 0.000
15 15 0.000
15 16 -3.000
15 17 3.000
15 18 -2.000
15 19 3.000
15 20 -2.000
15 21 3.000
15 22 -3.000
15 23 2.000
15 24 -1.000
15 25 -2.000
15 26 -1.000
15 27 1.000
15 28 1.000
15 29 -3.000
15 30 -3.000
15 31 2.000
15 32 0.000
15 33 1.000
15 34 2.000
15 35 2.000
15 36 -2.000
15 37 -1.000
15 38 1.000
15 39 2.000
15 40 3.000
15 41 -1.000
15 42 1.000
15 43 2.000
15 44 3.000
15 45 3.000
15 46 0.000
15 47 -3.000
15 48 0.000
15 49 -2.000
15 50 1.000
15 51 -2.000
15 52 -1.000
15 53 3.000
15 54 -3.000
15 55 -1.000
15 56 -1.000
15 57 2.000
15 58 1.000
15 59 3.000
15 60 1.000
15 61 2.000
15 62 0.000
15 63 2.000
15 64 -1.000
15 65 0.000
15 66 2.000
15 67 2.000
15 68 -2.000
15 69 1.000
15 70 -2.000
15 71 -1.000
15 72 1.000
15 73 -3.000
15 74 2.000
15 75 1.000
15 76 0.000
15 77 -1.000
15 78 1.000
15 79 -2.000
15 80 0.000
15 81 -3.000
15 82 -3.000
15 83 2.000
15 84 3.000
15 85 -2.000
15 86 -2.000
15 87 2.000
15 88 -2.000
15 89 2.000
15 90 0.000
15 91 0.000
15 92 0.000
15 93 -3.000
15 94 3.000
15 95 -3.000
15 96 -1.000
15 97 1.000
15 98 -3.000
15 99 -1.000
16 0 1.000
16 1 0.000
16 2 1.000
16 3 2.000
16 4 -1.000
16 5 -3.000
16 6 -3.000
16 7 3.000
16 8 2.000
16 9 3.000
16 10 -3.000
16 11 0.000
16 12 0.000
16 13 -2.000
16 14 -1.000
16 15 -1.000
16 16 -2.000
16 17 0.000
16 18 2.000
16 19 3.000
16 20 1.000
16 21 -2.000
16 22 -2.000
16 23 -2.000
16 24 3.000
16 25 -1.000
16 26 2.000
16 27 -2.000
16 28 -3.000
16 29 0.000
16 30 -2.000
16 31 1.000
16 32 0.000
16 33 3.000
16 34 0.000
16 35 2.000
16 36 1.000
16 37 -1.000
16 38 -3.000
16 39 2.000
16 40 -3.000
16 41 -3.000
16 42 -2.000
16 43 -3.000
16 44 1.000
16 45 -3.000
16 46 1.000
16 47 2.000
16 48 -3.000
16 49 -3.000
16 50 0.000
16 51 3.000
16 52 -2.000
16 53 -1.000
16 54 0.000
16 55 1.000
16 56 0.000
